n,SGD,Bayes,split
199,1.836434,1.508752,2.047084
200,1.8356727000000002,1.5092446800000001,2.05327329
201,1.83495588,1.50984092,2.05699226
202,1.83419229,1.50769724,2.0551273400000003
203,1.83348264,1.5080802,2.05806828
204,1.8327697,1.50883485,2.0622672
205,1.83203422,1.50868838,2.06589984
206,1.83125448,1.51042725,1.91232396
207,1.8304561600000002,1.51040032,1.9153264
208,1.8296758700000002,1.51025699,1.91270739
209,1.8289488,1.5152823,1.9154603999999997
210,1.82828124,1.5169845,1.9199945
211,1.82765412,1.51692572,1.92271704
212,1.82702028,1.5162404999999999,1.9273858799999999
213,1.82639798,1.51472196,1.92995044
214,1.825823,1.5133463,1.9302055
215,1.82529936,1.51407144,1.9317614399999998
216,1.82473998,1.5109493,1.9322678199999999
217,1.8242349,1.5133734399999998,1.9363959
218,1.8237641100000002,1.51500258,1.9418160599999998
219,1.8232544,1.5160288,1.943535
220,1.8227151799999999,1.51416382,1.9450209999999999
221,1.82217822,1.51387128,1.9455924599999999
222,1.8216981500000002,1.51540542,1.94653132
223,1.8212655999999998,1.51758432,1.9499424
224,1.82079675,1.51664175,1.95312375
225,1.82035542,1.51667922,1.95540624
226,1.8198816999999998,1.51654841,1.95934369
227,1.8193875600000002,1.5138196800000001,1.95981732
228,1.81884166,1.51219005,1.96158652
229,1.818242,1.5108033,1.9605590999999998
230,1.81764198,1.5096057900000002,1.9634676599999998
231,1.81706112,1.5128093599999999,1.96647376
232,1.81645868,1.5106927799999998,1.97025965
233,1.81582596,1.51053552,1.96972776
234,1.81523165,1.5125845500000001,1.9734266
235,1.81463704,1.50986664,1.97479844
236,1.8139553400000001,1.50692184,1.97114796
237,1.81331248,1.50686844,1.9745907999999999
238,1.8126859400000002,1.5078725099999999,1.87096609
239,1.8120456,1.5059543999999998,1.8725376
240,1.81145963,1.50735137,1.8736761899999999
241,1.81091504,1.50788748,1.87438196
242,1.81035243,1.50594633,1.87707294
243,1.80978948,1.5048578,1.8790976799999999
244,1.8092711,1.5074507,1.88111
245,1.80874206,1.50720264,1.88378928
246,1.80822278,1.50912554,1.8850027299999998
247,1.80763728,1.50852944,1.885916
248,1.80705276,1.50779709,1.88651862
249,1.806585,1.5140525,1.888575
250,1.80619349,1.51424033,1.89219864
251,1.8057967199999998,1.51370604,1.8925124400000002
252,1.80541053,1.5130260199999999,1.8936544
253,1.80508656,1.5150185600000001,1.89757812
254,1.8047931,1.5159291,1.8996837
255,1.80452608,1.515776,1.90230528
256,1.80429934,1.5182326400000001,1.90553421
257,1.80407274,1.5169884,1.90586406
258,1.8038314,1.51782547,1.9073588799999999
259,1.803568,1.5170324,1.9122194
260,1.80331686,1.51649352,1.9132344
261,1.8030918599999999,1.51766382,1.9134881799999999
262,1.80288341,1.51836212,1.91789857
263,1.8027187199999999,1.51978992,1.9204284
264,1.8025432499999998,1.5186196,1.92143285
265,1.8023947200000001,1.51974046,1.92302572
266,1.80227937,1.5222257399999999,1.92683487
267,1.8021231199999999,1.519493,1.9266868400000001
268,1.80191264,1.5166139299999999,1.92617719
269,1.8016911,1.5160581,1.8177129
270,1.80154025,1.51996583,1.81944251
271,1.80132,1.5159212800000001,1.81747136
272,1.80108201,1.5145575900000001,1.82138775
273,1.8008211600000001,1.51178404,1.82132732
274,1.80058175,1.51181525,1.82457825
275,1.80036456,1.51013124,1.82450076
276,1.8001509800000002,1.5112870699999998,1.82616682
277,1.79996104,1.51313454,1.8292177600000001
278,1.79975925,1.51316208,1.83061107
279,1.7995348,1.5102584,1.8301724
280,1.79931325,1.50993102,1.83231108
281,1.79909514,1.51054146,1.83294642
282,1.7989064799999999,1.51294913,1.8335994500000001
283,1.798714,1.51117536,1.83122064
284,1.79849535,1.5089781,1.8301189500000001
285,1.79830508,1.5081437800000002,1.83089764
286,1.79813249,1.5080443700000001,1.8340648899999998
287,1.79796384,1.5044630399999999,1.83582432
288,1.79767248,1.5000573899999998,1.8323727099999998
289,1.7974084,1.5009182,1.8359204
290,1.79714034,1.50010209,1.83509547
291,1.7968570400000001,1.5009676,1.83546528
292,1.7965851700000002,1.49976445,1.8346488
293,1.7962429800000002,1.49662464,1.83429834
294,1.79584495,1.4944346,1.8325341
295,1.79542352,1.4936929600000002,1.83440968
296,1.7950056300000001,1.49311701,1.83548079
297,1.7946007000000002,1.4925449199999998,1.83866
298,1.7942003299999998,1.4924883999999998,1.84002806
299,1.793796,1.493094,1.844403
300,1.7933941199999999,1.49358909,1.8466410199999999
301,1.7929739999999998,1.49093776,1.76857542
302,1.79260254,1.4948171700000001,1.77101379
303,1.7922775999999998,1.4980390399999999,1.77424128
304,1.79197565,1.49805935,1.777296
305,1.7916820199999999,1.4999048999999998,1.7808343199999999
306,1.79140947,1.50181944,1.78328318
307,1.79111548,1.50025568,1.78182928
308,1.79088057,1.50216951,1.78494159
309,1.7906034,1.5004403,1.7848777
310,1.79033681,1.50213,1.7881442600000002
311,1.79007192,1.50201792,1.78843704
312,1.7898435499999998,1.5026910900000001,1.78877309
313,1.7896084600000002,1.50122144,1.7876302599999998
314,1.7893827,1.502361,1.79016705
315,1.78915408,1.5016952,1.7893215599999999
316,1.78891659,1.50187626,1.7919344300000002
317,1.7887023,1.5009759,1.7933578199999998
318,1.78849583,1.50079292,1.7944260399999998
319,1.7882528,1.4997504,1.7947584
320,1.78803099,1.50036684,1.79560338
321,1.78781162,1.49997904,1.79808342
322,1.78759828,1.4984002299999999,1.8001791299999998
